Rank,Country,Population_2026,Yearly_Change,Net_Change,Density_per_km2,Land_Area_km2,Migrants_Net,Fertility_Rate,Median_Age,Urban_Population_pct,World_Share_pct
53,Niger,28814878,3.21,897047.0,23,1266700,-10620.0,5.64,15.7,18.5,0.35
54,Venezuela,28633711,0.41,116815.0,32,882050,-92869.0,2.04,29.5,0.0,0.34
55,Australia,27227096,0.94,253070.0,4,7682300,131706.0,1.64,38.5,86.7,0.33
56,North Korea,26633691,0.24,62655.0,221,120410,-2809.0,1.75,36.8,63.7,0.32
57,Syria,26472497,3.33,852070.0,144,183630,305822.0,2.62,23.8,54.2,0.32
58,Mali,25932275,2.91,733454.0,21,1220190,-52609.0,5.33,15.9,45.1,0.31
59,Burkina Faso,24601700,2.19,527120.0,90,273600,-28309.0,3.92,18.0,34.5,0.3
60,Sri Lanka,23348315,0.51,118845.0,372,62710,-30760.0,1.93,33.6,18.2,0.28
61,Taiwan,23011292,-0.44,-101501.0,650,35410,-15041.0,0.86,45.4,84.9,0.28
62,Malawi,22785535,2.56,569415.0,242,94280,1348.0,3.45,18.4,20.2,0.27
63,Zambia,22521915,2.77,608041.0,30,743390,6939.0,3.91,18.2,47.4,0.27
64,Chad,21560380,2.65,556675.0,17,1259200,-112304.0,5.83,15.7,22.7,0.26
65,Kazakhstan,21083626,1.15,239872.0,8,2699700,-12814.0,2.92,29.7,55.2,0.25
66,Somalia,20305907,3.31,651168.0,32,627340,15364.0,5.8,15.6,47.1,0.24
67,Chile,19945850,0.43,85929.0,27,743532,48106.0,1.12,37.4,85.1,0.24
68,Senegal,19366548,2.3,434582.0,101,192530,-13429.0,3.66,19.8,53.0,0.23
69,Guatemala,18967978,1.5,280097.0,177,107160,-7432.0,2.23,23.8,57.1,0.23
70,Romania,18800605,-0.57,-108045.0,82,230170,-28982.0,1.71,43.5,55.5,0.23
71,Netherlands,18448775,0.56,101956.0,547,33720,89379.0,1.44,41.5,88.9,0.22
72,Ecuador,18444506,0.85,154610.0,74,248360,-13851.0,1.78,29.7,66.4,0.22
73,Cambodia,18051219,1.14,203237.0,102,176520,-34323.0,2.49,26.4,26.9,0.22
74,Zimbabwe,17273580,1.9,322785.0,45,386850,-54620.0,3.57,18.3,38.2,0.21
75,Guinea,15441993,2.27,342266.0,63,245720,-19725.0,3.96,18.5,40.9,0.19
76,Benin,15170419,2.4,355959.0,135,112760,-6318.0,4.34,18.2,48.4,0.18
